Designator,Mid X,Mid Y,Rotation,Layer
C100,161.55,-135.1,270.0,top
C101,152.25,-135.1625,270.0,top
C104,193.0375,-118.8,180.0,top
C108,191.3875,-127.15,180.0,top
C200,136.75,-121.875,270.0,top
C201,146.55,-120.9,270.0,top
C202,132.4,-105.975,270.0,top
C203,139.05,-120.875,270.0,top
C204,138.0,-100.2,90.0,top
C205,151.925,-104.55,0.0,top
C206,131.825,-111.7,180.0,top
C207,131.8,-113.3,180.0,top
C208,148.25,-120.9,270.0,top
C209,151.925,-106.25,0.0,top
C210,130.6,-105.975,90.0,top
C211,125.3,-105.975,270.0,top
C212,167.6,-83.35,270.0,top
C300,139.0,-85.8,0.0,top
C301,139.2,-87.7,0.0,top
C302,121.57,-128.6281,90.0,top
C303,124.07,-128.8281,90.0,top
C304,119.07,-128.8656,90.0,top
C305,117.175,-87.95,0.0,top
C306,116.975,-89.85,0.0,top
C307,114.1,-94.45,270.0,top
C308,116.95,-86.05,0.0,top
Cp102,176.875,-122.7,180.0,top
Cp103,176.325,-119.8,180.0,top
Cp105,192.1375,-131.1,180.0,top
Cp106,191.35,-129.05,0.0,top
Cp107,180.65,-107.6,180.0,top
D100,173.3,-145.0,270.0,top
D101,157.0,-139.7125,90.0,top
D103,180.85,-109.9,0.0,top
D200,143.85,-98.0125,270.0,top
D201,119.0,-103.8,0.0,top
D202,119.0125,-105.5,0.0,top
D203,119.0125,-107.2,0.0,top
D_Sch100,178.95,-104.6,0.0,top
F100,177.25,-143.75,90.0,top
HMC5883,132.45,-88.9,0.0,top
J100,182.25,-143.1,0.0,top
J200,159.08,-77.15,90.0,top
J201,115.98,-77.1,90.0,top
J203,129.78,-77.1,90.0,top
J204,102.2,-114.88,0.0,top
J205,179.88,-77.3,90.0,top
J207,116.86,-147.7,90.0,top
J208,102.1,-136.55,180.0,top
J209,102.4,-99.24,0.0,top
J300,102.5,-87.2,0.0,top
JP100,152.82,-146.8,90.0,top
L100,191.2,-107.45,90.0,top
L200,130.925,-115.5,0.0,top
MMA8451,114.67,-129.9906,180.0,top
MPU6050,112.12,-88.0,0.0,top
Q100,166.65,-145.0,180.0,top
R100,177.5,-147.15,0.0,top
R102,155.1,-139.975,270.0,top
R103,177.075,-127.15,180.0,top
R104,177.1,-128.75,0.0,top
R105,193.075,-120.5,0.0,top
R106,193.05,-122.2,0.0,top
R107,185.95,-127.3,0.0,top
R108,177.05,-125.5,0.0,top
R109,181.05,-112.0,180.0,top
R200,147.1,-140.9,90.0,top
R201,131.775,-110.1,0.0,top
R202,142.55,-120.85,270.0,top
R203,144.9,-120.9,270.0,top
R204,145.75,-98.0375,90.0,top
R205,115.8,-103.8,0.0,top
R206,115.875,-105.5,0.0,top
R207,115.875,-107.2,0.0,top
R208,141.65,-137.45,270.0,top
R209,131.6,-137.375,270.0,top
R300,126.27,-129.5906,90.0,top
R301,110.05,-95.275,270.0,top
R302,111.65,-95.25,270.0,top
R303,129.8,-88.1,0.0,top
R405,159.1,-83.325,270.0,top
R406,160.8,-83.35,270.0,top
R407,169.2,-83.375,270.0,top
RV1,186.9,-130.2,180.0,top
SW200,146.3,-146.47,0.0,top
U1,183.675,-123.35,0.0,top
U101,156.95,-132.3625,90.0,top
U200,141.74,-109.42,0.0,top
U201,136.4825,-137.25,0.0,top
USB_C1,136.0,-144.16,0.0,top
Y200,127.95,-106.6,90.0,top
